signal_id,signal_code,signal_name,category,severity,confidence,requires_escalation,rationale,suggested_actions,processing_time,batch_id,timestamp,query_context,model_used,batch_size
54d9d5da855d7846e5f447bb,SIG-0138,(N/A) IND - Subject Visits - Fewer answers than expected and only visits at clinic reported,Data Quality Issues,medium,0.8,True,Incomplete data collection may lead to inaccurate analysis and potential safety concerns.,Investigate the reason for incomplete data collection; Re-train site staff on data collection procedures; Implement additional data quality checks,4.595163583755493,e3366394,2025-07-19T22:23:37.072246,Identify signals indicating potential safety concerns,gpt-4o,5
54d9d824855d7846e60ad8d7,SIG-0140,(N/A) IND - Allergic and Cardiovascular Histories - Fewer answers than expected,Data Quality Issues,medium,0.8,True,Incomplete collection of medical history may lead to inaccurate analysis and potential safety concerns.,Investigate the reason for incomplete data collection; Re-train site staff on data collection procedures; Implement additional data quality checks,4.595163583755493,e3366394,2025-07-19T22:23:37.076399,Identify signals indicating potential safety concerns,gpt-4o,5
54d9d8a0855d7846e5f447bd,SIG-0141,(N/A) IND - Findings about statins and LMTs - Less findings than expected,Data Quality Issues,medium,0.8,True,Incomplete collection of medication data may lead to inaccurate analysis and potential safety concerns.,Investigate the reason for incomplete data collection; Re-train site staff on data collection procedures; Implement additional data quality checks,4.595163583755493,e3366394,2025-07-19T22:23:37.081738,Identify signals indicating potential safety concerns,gpt-4o,5
54d9da4a855d7846e70c137a,SIG-0145,(N/A) IND - Substance Use - Fewer substance uses than expected,Data Quality Issues,medium,0.8,True,Incomplete collection of substance use data may lead to inaccurate analysis and potential safety concerns.,Investigate the reason for incomplete data collection; Re-train site staff on data collection procedures; Implement additional data quality checks,4.595163583755493,e3366394,2025-07-19T22:23:37.096796,Identify signals indicating potential safety concerns,gpt-4o,5
54d9dbc6855d7846e60ad8d9,SIG-0147,(N/A) IND - General Concomitant Medication - Missing medication names,Data Quality Issues,low,0.7,False,Missing medication names may lead to inaccurate analysis but is less likely to result in immediate safety concerns.,Investigate the reason for missing data; Re-train site staff on data collection procedures; Implement additional data quality checks,4.595163583755493,e3366394,2025-07-19T22:23:37.103663,Identify signals indicating potential safety concerns,gpt-4o,5
54d9dd13855d7846e416083a,SIG-0150,(N/A) IND - Adverse Events - Several missing pieces of information,Data Quality Issues,high,0.9,True,Missing information related to adverse events can lead to inaccurate safety assessments and potential patient harm.,Review data collection and entry processes; Retrain staff on AE reporting requirements; Implement additional data quality checks,3.257931089401245,0ea62e1d,2025-07-19T22:23:53.398971,Identify signals indicating potential safety concerns,gpt-4o,5
54d9e0cc855d7846e70c137d,SIG-0153,(N/A) IND - Cardiovascular History - Atypical patterns,Safety Signals,medium,0.8,True,Atypical patterns in cardiovascular history may indicate potential safety issues related to the study population.,Investigate potential causes of atypical patterns; Consider additional safety monitoring for cardiovascular events,3.257931089401245,0ea62e1d,2025-07-19T22:23:53.404525,Identify signals indicating potential safety concerns,gpt-4o,5
54d9e1a1855d7846e60ad8e8,SIG-0154,(N/A) IND - Findings about qualifying ACS Event - Atypical pattern in cardiac biomarkers,Safety Signals,medium,0.8,True,Lower than expected rates of elevated cardiac biomarkers may indicate potential safety issues related to the study population.,Investigate potential causes of atypical patterns; Consider additional safety monitoring for cardiac events,3.257931089401245,0ea62e1d,2025-07-19T22:23:53.414606,Identify signals indicating potential safety concerns,gpt-4o,5
54d9e1df855d7846e416083b,SIG-0155,(N/A) IND - Findings about ALT Increase - More findings than expected,Safety Signals,high,0.9,True,Significantly more findings about ALT increase than expected may indicate a potential safety issue related to liver function.,Investigate potential causes of increased ALT findings; Consider additional safety monitoring for liver function,3.257931089401245,0ea62e1d,2025-07-19T22:23:53.423444,Identify signals indicating potential safety concerns,gpt-4o,5
54d9e284855d7846e5f4498e,SIG-0156,(N/A) IND - Vital Signs - Atypical patterns,Safety Signals,medium,0.8,True,Atypical patterns in vital signs may indicate potential safety issues related to the study population.,Investigate potential causes of atypical patterns; Consider additional safety monitoring for vital signs,3.257931089401245,0ea62e1d,2025-07-19T22:23:53.430599,Identify signals indicating potential safety concerns,gpt-4o,5
54d9e3f7855d7846e5f4498f,SIG-0157,(N/A) IND - Lipid Parameters - Low lipid parameters,Safety Signals,medium,0.8,True,Lower lipid parameters could indicate a potential safety concern related to the metabolic health of the patients.,Investigate potential causes of low lipid parameters; Consider additional monitoring of lipid parameters,4.052458810806274,f39dd1ff,2025-07-19T22:24:13.701309,Identify signals indicating potential safety concerns,gpt-4o,5
54d9f525855d7846e60ad8f0,SIG-0161,(N/A) IND - Laboratory Test Results - High between-patient variability or global outliers,Safety Signals,high,0.9,True,High variability in test results could indicate inconsistent data or potential safety issues.,Investigate source of variability; Consider additional training for site staff on data collection procedures,4.052458810806274,f39dd1ff,2025-07-19T22:24:13.706628,Identify signals indicating potential safety concerns,gpt-4o,5
54d9f8d3855d7846e70c13a5,SIG-0159,(N/A) IND - Laboratory Test Results - More derived results than expected.,Data Quality Issues,low,0.7,False,"All Creatinine Clearance tests being derived could indicate potential data quality issues, but not necessarily a direct safety concern.",Review data collection and entry procedures; Verify accuracy of derived results,4.052458810806274,f39dd1ff,2025-07-19T22:24:13.715236,Identify signals indicating potential safety concerns,gpt-4o,5
54da0492855d7846e70c1428,SIG-0165,(N/A) IND - Laboratory Test Results - More tests performed than expected,Data Quality Issues,low,0.7,False,"Atypically high number of results for all tests could indicate potential data quality issues, but not necessarily a direct safety concern.",Review data collection and entry procedures; Verify accuracy of test results,4.052458810806274,f39dd1ff,2025-07-19T22:24:13.722328,Identify signals indicating potential safety concerns,gpt-4o,5
